Make,Model,Year,Problem,Symptoms,Solution,Cost,Difficulty
Ford,F-150,2009,Tire Issues,"Low tire pressure, Car vibration, Uneven tire wear",Replace tires,$131,Easy
Kia,Sportage,2016,Suspension Issues,"Squeaking noise from underneath, Car vibration over bumps",Replace shock absorbers,$657,Hard
Ford,F-150,2018,Dead Battery,"Dim lights, Weak sound when starting, Car won't start",Replace the battery,$142,Easy
Chevrolet,Camaro,2018,Dead Battery,"Car won't start, Dim lights",Charge the battery,$73,Easy
Nissan,Patrol,2007,Exhaust System Issues,Loud exhaust noise,Inspect exhaust system,$975,Hard
Ford,F-150,2014,Engine Oil Leak,Low oil level,Replace gaskets,$576,Medium
BMW,X5,2013,Faulty Spark Plugs,"Increased fuel consumption, Engine vibration",Replace spark plugs,$119,Easy
Audi,A4,2021,Brake Issues,"Steering wheel vibration, Increased stopping distance, Squeaking when braking",Inspect brake system,$397,Medium
Toyota,Corolla,2019,Engine Oil Leak,"Burning smell, Oil spots under the car, Low oil level",Fix the leak,$518,Medium
Kia,Sportage,2021,Suspension Issues,Car swaying,Inspect suspension system,$445,Hard
Nissan,Patrol,2001,Faulty Spark Plugs,"Engine vibration, Increased fuel consumption, Poor acceleration",Replace spark plugs,$174,Easy
Honda,Civic,2021,Engine Oil Leak,"Oil spots under the car, Low oil level",Replace gaskets,$275,Medium
BMW,X5,2019,Brake Issues,"Increased stopping distance, Steering wheel vibration",Inspect brake system,$203,Medium
Nissan,Patrol,2021,Cooling System Issues,"Engine overheating, Burning smell, Coolant leakage",Replace water pump,$679,Medium
Chevrolet,Camaro,2012,Exhaust System Issues,"Black smoke emission, Loud exhaust noise",Replace catalytic converter,$823,Hard
BMW,X5,2010,Tire Issues,"Car vibration, Low tire pressure, Uneven tire wear",Balance tires,$67,Easy
Nissan,Patrol,2011,Exhaust System Issues,"Loud exhaust noise, Black smoke emission, Strong fuel smell",Replace catalytic converter,$759,Hard
Ford,F-150,2021,Engine Oil Leak,Oil spots under the car,Replace gaskets,$301,Medium
Hyundai,Sonata,2011,Tire Issues,"Low tire pressure, Uneven tire wear",Balance tires,$50,Easy
Chevrolet,Camaro,2012,Dead Battery,"Car won't start, Weak sound when starting",Charge the battery,$87,Easy
Audi,A4,2023,Brake Issues,"Increased stopping distance, Squeaking when braking, Steering wheel vibration",Replace brake pads,$253,Medium
Hyundai,Sonata,2012,Exhaust System Issues,Loud exhaust noise,Inspect exhaust system,$1023,Hard
Kia,Sportage,2018,Brake Issues,"Steering wheel vibration, Squeaking when braking",Replace brake pads,$151,Medium
Kia,Sportage,2017,Suspension Issues,Car swaying,Inspect suspension system,$833,Hard
Ford,F-150,2019,Electrical System Issues,Failure to turn on lights,Replace fuses,$261,Medium
Toyota,Corolla,2016,Engine Oil Leak,"Burning smell, Oil spots under the car",Fix the leak,$208,Medium
Nissan,Patrol,2012,Electrical System Issues,"Weak battery charging, Warning light on dashboard, Failure to turn on lights",Inspect electrical wiring,$284,Medium
Mercedes,C-Class,2013,Faulty Spark Plugs,"Engine vibration, Increased fuel consumption",Replace spark plugs,$261,Easy
Ford,F-150,2019,Electrical System Issues,"Warning light on dashboard, Weak battery charging, Failure to turn on lights",Inspect electrical wiring,$340,Medium
Honda,Civic,2023,Exhaust System Issues,"Black smoke emission, Strong fuel smell",Replace catalytic converter,$601,Hard
Honda,Civic,2022,Engine Oil Leak,"Low oil level, Oil spots under the car, Burning smell",Replace gaskets,$215,Medium
Toyota,Corolla,2015,Electrical System Issues,"Weak battery charging, Warning light on dashboard, Failure to turn on lights",Replace fuses,$142,Medium
Chevrolet,Camaro,2011,Exhaust System Issues,Strong fuel smell,Replace catalytic converter,$587,Hard
Chevrolet,Camaro,2011,Cooling System Issues,"Engine overheating, Coolant leakage",Replace water pump,$694,Medium
Toyota,Corolla,2023,Electrical System Issues,Weak battery charging,Inspect electrical wiring,$377,Medium
Honda,Civic,2018,Tire Issues,"Low tire pressure, Uneven tire wear",Replace tires,$199,Easy
Mercedes,C-Class,2011,Exhaust System Issues,"Strong fuel smell, Loud exhaust noise",Inspect exhaust system,$511,Hard
BMW,X5,2014,Faulty Spark Plugs,"Poor acceleration, Increased fuel consumption, Engine vibration",Replace spark plugs,$105,Easy
Audi,A4,2013,Engine Oil Leak,"Low oil level, Oil spots under the car",Fix the leak,$422,Medium
BMW,X5,2022,Tire Issues,"Car vibration, Low tire pressure, Uneven tire wear",Replace tires,$84,Easy
Hyundai,Sonata,2010,Suspension Issues,"Squeaking noise from underneath, Car swaying",Replace shock absorbers,$722,Hard
Kia,Sportage,2012,Engine Oil Leak,Burning smell,Replace gaskets,$378,Medium
BMW,X5,2021,Suspension Issues,Car swaying,Inspect suspension system,$963,Hard
Toyota,Corolla,2021,Tire Issues,"Uneven tire wear, Low tire pressure, Car vibration",Balance tires,$186,Easy
Ford,F-150,2011,Exhaust System Issues,"Black smoke emission, Loud exhaust noise",Inspect exhaust system,$954,Hard
Honda,Civic,2021,Brake Issues,Squeaking when braking,Replace brake pads,$314,Medium
Nissan,Patrol,2010,Brake Issues,"Squeaking when braking, Increased stopping distance",Inspect brake system,$299,Medium
Nissan,Patrol,2010,Brake Issues,Squeaking when braking,Inspect brake system,$202,Medium
Audi,A4,2015,Cooling System Issues,"Burning smell, Engine overheating, Coolant leakage",Replace water pump,$745,Medium
Hyundai,Sonata,2015,Cooling System Issues,Coolant leakage,Replace water pump,$330,Medium
Hyundai,Sonata,2012,Brake Issues,"Squeaking when braking, Steering wheel vibration",Replace brake pads,$324,Medium
Audi,A4,2010,Electrical System Issues,Failure to turn on lights,Inspect electrical wiring,$205,Medium
Nissan,Patrol,2009,Tire Issues,"Car vibration, Low tire pressure",Balance tires,$126,Easy
Kia,Sportage,2015,Electrical System Issues,"Failure to turn on lights, Weak battery charging",Inspect electrical wiring,$360,Medium
Ford,F-150,2005,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$179,Easy
Toyota,Corolla,2021,Faulty Spark Plugs,"Increased fuel consumption, Poor acceleration",Replace spark plugs,$290,Easy
Hyundai,Sonata,2011,Exhaust System Issues,"Strong fuel smell, Loud exhaust noise",Replace catalytic converter,$620,Hard
Honda,Civic,2015,Engine Oil Leak,"Low oil level, Oil spots under the car",Replace gaskets,$565,Medium
Honda,Civic,2011,Electrical System Issues,Warning light on dashboard,Replace fuses,$315,Medium
Hyundai,Sonata,2010,Dead Battery,Dim lights,Replace the battery,$187,Easy
Toyota,Corolla,2017,Electrical System Issues,"Failure to turn on lights, Weak battery charging",Replace fuses,$383,Medium
Mercedes,C-Class,2016,Exhaust System Issues,"Strong fuel smell, Black smoke emission, Loud exhaust noise",Replace catalytic converter,$1119,Hard
Mercedes,C-Class,2020,Faulty Spark Plugs,"Increased fuel consumption, Poor acceleration",Replace spark plugs,$275,Easy
Ford,F-150,2010,Exhaust System Issues,"Loud exhaust noise, Black smoke emission",Replace catalytic converter,$673,Hard
Mercedes,C-Class,2023,Exhaust System Issues,Black smoke emission,Replace catalytic converter,$1039,Hard
Chevrolet,Camaro,2010,Electrical System Issues,Warning light on dashboard,Replace fuses,$404,Medium
Mercedes,C-Class,2022,Electrical System Issues,"Failure to turn on lights, Warning light on dashboard, Weak battery charging",Inspect electrical wiring,$366,Medium
Toyota,Corolla,2016,Engine Oil Leak,"Oil spots under the car, Low oil level, Burning smell",Fix the leak,$225,Medium
Honda,Civic,2010,Tire Issues,"Uneven tire wear, Low tire pressure",Balance tires,$271,Easy
Chevrolet,Camaro,2014,Tire Issues,Uneven tire wear,Replace tires,$171,Easy
Ford,F-150,2006,Electrical System Issues,"Warning light on dashboard, Failure to turn on lights",Replace fuses,$168,Medium
Kia,Sportage,2011,Tire Issues,"Car vibration, Uneven tire wear",Replace tires,$92,Easy
Toyota,Corolla,2023,Brake Issues,"Steering wheel vibration, Squeaking when braking",Replace brake pads,$239,Medium
Kia,Sportage,2014,Faulty Spark Plugs,"Poor acceleration, Engine vibration",Replace spark plugs,$256,Easy
Hyundai,Sonata,2011,Engine Oil Leak,"Oil spots under the car, Burning smell, Low oil level",Replace gaskets,$315,Medium
Kia,Sportage,2019,Suspension Issues,"Car swaying, Squeaking noise from underneath",Inspect suspension system,$629,Hard
Hyundai,Sonata,2015,Cooling System Issues,Engine overheating,Inspect cooling system,$470,Medium
Hyundai,Sonata,2023,Engine Oil Leak,"Oil spots under the car, Burning smell",Replace gaskets,$499,Medium
Nissan,Patrol,2002,Tire Issues,Car vibration,Replace tires,$299,Easy
Audi,A4,2013,Tire Issues,Car vibration,Replace tires,$141,Easy
Hyundai,Sonata,2022,Suspension Issues,Squeaking noise from underneath,Inspect suspension system,$643,Hard
Audi,A4,2022,Faulty Spark Plugs,"Engine vibration, Increased fuel consumption",Replace spark plugs,$228,Easy
Nissan,Patrol,2011,Dead Battery,"Dim lights, Car won't start",Charge the battery,$56,Easy
Mercedes,C-Class,2010,Exhaust System Issues,"Black smoke emission, Strong fuel smell, Loud exhaust noise",Inspect exhaust system,$1128,Hard
Kia,Sportage,2019,Faulty Spark Plugs,"Increased fuel consumption, Poor acceleration",Replace spark plugs,$232,Easy
Mercedes,C-Class,2021,Suspension Issues,"Car vibration over bumps, Car swaying",Replace shock absorbers,$706,Hard
BMW,X5,2018,Exhaust System Issues,Loud exhaust noise,Replace catalytic converter,$780,Hard
Mercedes,C-Class,2013,Cooling System Issues,"Burning smell, Engine overheating, Coolant leakage",Inspect cooling system,$535,Medium
Kia,Sportage,2023,Cooling System Issues,"Engine overheating, Coolant leakage",Replace water pump,$376,Medium
BMW,X5,2014,Brake Issues,"Squeaking when braking, Steering wheel vibration",Replace brake pads,$316,Medium
Audi,A4,2015,Dead Battery,"Car won't start, Weak sound when starting",Replace the battery,$184,Easy
Toyota,Corolla,2019,Tire Issues,Uneven tire wear,Replace tires,$95,Easy
Toyota,Corolla,2023,Dead Battery,Dim lights,Charge the battery,$96,Easy
Toyota,Corolla,2022,Electrical System Issues,Weak battery charging,Inspect electrical wiring,$136,Medium
Mercedes,C-Class,2023,Exhaust System Issues,"Strong fuel smell, Black smoke emission, Loud exhaust noise",Inspect exhaust system,$996,Hard
Mercedes,C-Class,2017,Suspension Issues,"Car swaying, Squeaking noise from underneath, Car vibration over bumps",Inspect suspension system,$602,Hard
BMW,X5,2021,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$227,Easy
Hyundai,Sonata,2020,Tire Issues,Low tire pressure,Balance tires,$158,Easy
Honda,Civic,2019,Brake Issues,Squeaking when braking,Inspect brake system,$205,Medium
Honda,Civic,2020,Faulty Spark Plugs,"Increased fuel consumption, Poor acceleration",Replace spark plugs,$190,Easy
Nissan,Patrol,2012,Electrical System Issues,"Warning light on dashboard, Failure to turn on lights, Weak battery charging",Inspect electrical wiring,$498,Medium
Kia,Sportage,2012,Engine Oil Leak,"Low oil level, Oil spots under the car, Burning smell",Replace gaskets,$476,Medium
Kia,Sportage,2014,Engine Oil Leak,"Oil spots under the car, Burning smell, Low oil level",Fix the leak,$539,Medium
Nissan,Patrol,2011,Cooling System Issues,"Burning smell, Engine overheating",Inspect cooling system,$445,Medium
Mercedes,C-Class,2018,Engine Oil Leak,"Burning smell, Oil spots under the car",Replace gaskets,$452,Medium
Audi,A4,2010,Cooling System Issues,"Engine overheating, Burning smell, Coolant leakage",Inspect cooling system,$335,Medium
Mercedes,C-Class,2018,Electrical System Issues,Weak battery charging,Replace fuses,$142,Medium
BMW,X5,2020,Cooling System Issues,"Engine overheating, Burning smell, Coolant leakage",Replace water pump,$385,Medium
Toyota,Corolla,2016,Tire Issues,"Low tire pressure, Uneven tire wear, Car vibration",Replace tires,$78,Easy
BMW,X5,2021,Faulty Spark Plugs,Poor acceleration,Replace spark plugs,$288,Easy
Hyundai,Sonata,2013,Tire Issues,"Uneven tire wear, Car vibration, Low tire pressure",Replace tires,$105,Easy
Ford,F-150,2009,Electrical System Issues,"Weak battery charging, Failure to turn on lights",Inspect electrical wiring,$451,Medium
Honda,Civic,2017,Engine Oil Leak,Oil spots under the car,Fix the leak,$568,Medium
BMW,X5,2015,Tire Issues,Car vibration,Balance tires,$137,Easy
Audi,A4,2017,Electrical System Issues,"Weak battery charging, Failure to turn on lights, Warning light on dashboard",Inspect electrical wiring,$151,Medium
Ford,F-150,2011,Engine Oil Leak,"Oil spots under the car, Low oil level, Burning smell",Replace gaskets,$585,Medium
Hyundai,Sonata,2017,Dead Battery,Dim lights,Replace the battery,$126,Easy
Kia,Sportage,2016,Tire Issues,"Low tire pressure, Car vibration",Balance tires,$113,Easy
BMW,X5,2012,Exhaust System Issues,"Black smoke emission, Strong fuel smell",Replace catalytic converter,$747,Hard
Honda,Civic,2020,Engine Oil Leak,Burning smell,Fix the leak,$263,Medium
Mercedes,C-Class,2012,Exhaust System Issues,Black smoke emission,Replace catalytic converter,$820,Hard
Kia,Sportage,2019,Dead Battery,"Dim lights, Car won't start",Charge the battery,$83,Easy
Nissan,Patrol,2021,Exhaust System Issues,Loud exhaust noise,Inspect exhaust system,$845,Hard
Mercedes,C-Class,2013,Brake Issues,Squeaking when braking,Replace brake pads,$202,Medium
Mercedes,C-Class,2023,Suspension Issues,"Car vibration over bumps, Car swaying",Replace shock absorbers,$968,Hard
Honda,Civic,2013,Faulty Spark Plugs,"Poor acceleration, Engine vibration, Increased fuel consumption",Replace spark plugs,$267,Easy
Mercedes,C-Class,2014,Cooling System Issues,"Coolant leakage, Engine overheating",Replace water pump,$679,Medium
Audi,A4,2015,Exhaust System Issues,"Loud exhaust noise, Strong fuel smell",Inspect exhaust system,$816,Hard
Mercedes,C-Class,2010,Cooling System Issues,"Engine overheating, Coolant leakage",Inspect cooling system,$745,Medium
Mercedes,C-Class,2017,Suspension Issues,"Car vibration over bumps, Squeaking noise from underneath, Car swaying",Inspect suspension system,$962,Hard
Kia,Sportage,2023,Brake Issues,Steering wheel vibration,Replace brake pads,$301,Medium
Toyota,Corolla,2018,Tire Issues,Uneven tire wear,Balance tires,$217,Easy
Ford,F-150,2012,Cooling System Issues,Engine overheating,Inspect cooling system,$429,Medium
Kia,Sportage,2021,Engine Oil Leak,Burning smell,Replace gaskets,$231,Medium
Toyota,Corolla,2020,Faulty Spark Plugs,"Poor acceleration, Increased fuel consumption",Replace spark plugs,$243,Easy
Audi,A4,2010,Cooling System Issues,"Engine overheating, Burning smell, Coolant leakage",Inspect cooling system,$710,Medium
Audi,A4,2021,Cooling System Issues,Coolant leakage,Replace water pump,$776,Medium
Nissan,Patrol,2004,Electrical System Issues,"Weak battery charging, Failure to turn on lights",Inspect electrical wiring,$185,Medium
Honda,Civic,2011,Faulty Spark Plugs,"Increased fuel consumption, Engine vibration, Poor acceleration",Replace spark plugs,$236,Easy
Toyota,Corolla,2015,Cooling System Issues,Coolant leakage,Inspect cooling system,$346,Medium
Audi,A4,2021,Dead Battery,"Car won't start, Dim lights, Weak sound when starting",Replace the battery,$138,Easy
Nissan,Patrol,2019,Dead Battery,"Dim lights, Car won't start",Charge the battery,$50,Easy
Nissan,Patrol,2005,Tire Issues,"Car vibration, Uneven tire wear",Replace tires,$225,Easy
Honda,Civic,2011,Suspension Issues,"Car swaying, Car vibration over bumps",Replace shock absorbers,$867,Hard
BMW,X5,2022,Suspension Issues,"Car swaying, Car vibration over bumps, Squeaking noise from underneath",Replace shock absorbers,$925,Hard
Hyundai,Sonata,2012,Brake Issues,"Squeaking when braking, Increased stopping distance, Steering wheel vibration",Inspect brake system,$267,Medium
Ford,F-150,2011,Suspension Issues,"Squeaking noise from underneath, Car vibration over bumps, Car swaying",Replace shock absorbers,$937,Hard
Audi,A4,2020,Cooling System Issues,"Coolant leakage, Engine overheating, Burning smell",Inspect cooling system,$614,Medium
Hyundai,Sonata,2014,Electrical System Issues,"Failure to turn on lights, Warning light on dashboard",Inspect electrical wiring,$169,Medium
Ford,F-150,2009,Electrical System Issues,"Weak battery charging, Warning light on dashboard, Failure to turn on lights",Inspect electrical wiring,$209,Medium
Honda,Civic,2015,Engine Oil Leak,Oil spots under the car,Fix the leak,$234,Medium
Hyundai,Sonata,2020,Faulty Spark Plugs,"Poor acceleration, Increased fuel consumption",Replace spark plugs,$140,Easy
Chevrolet,Camaro,2014,Dead Battery,"Dim lights, Car won't start",Charge the battery,$99,Easy
